venda_id;data;cliente_id;produto_id;rep_id;regiao;uf;canal;qtd;preco_unit;desconto;receita_bruta;receita_liquida
1;15/02/2024 00:00;94;31;16;Sul;PR;Hospitalar;5;159,17;0,16;795,85;668,51
2;10/07/2024 00:00;188;37;24;Sul;RS;Varejo;11;125,1;0,16;1376,1;1155,92
3;07/03/2024 00:00;70;39;9;Sudeste;RJ;Varejo;22;111,68;0,06;2456,96;2309,54
4;29/12/2024 00:00;29;37;22;Norte;AC;Hospitalar;7;132,22;0,05;925,54;879,26
5;08/01/2024 00:00;190;36;21;Sudeste;SP;Varejo;7;23,94;0,03;167,58;162,55
6;11/10/2024 00:00;214;56;10;Norte;RO;Varejo;6;150,12;0;900,72;900,72
7;16/10/2024 00:00;144;2;23;Norte;AC;Varejo;8;85,13;0,07;681,04;633,37
8;22/08/2024 00:00;120;7;20;Sudeste;SP;Varejo;22;56,95;0,07;1252,9;1165,2
9;23/11/2024 00:00;154;6;15;Sul;PR;Varejo;2;85,41;0,11;170,82;152,03
10;01/08/2024 00:00;5;35;25;Sul;SC;Varejo;10;50,66;0,06;506,6;476,2
11;03/01/2024 00:00;182;24;24;Sudeste;MG;Varejo;22;103,62;0,12;2279,64;2006,08
12;12/10/2024 00:00;19;41;9;Sudeste;SP;Varejo;8;127,02;0,09;1016,16;924,71
13;29/12/2024 00:00;61;48;3;Sudeste;ES;Hospitalar;12;72,71;0,05;872,52;828,89
14;08/02/2024 00:00;131;40;22;Norte;AC;Varejo;5;42,85;0,1;214,25;192,82
15;11/12/2024 00:00;105;37;7;Nordeste;MA;Hospitalar;4;132,99;0,08;531,96;489,4
16;01/12/2024 00:00;189;13;12;Sul;RS;Varejo;4;181,88;0,11;727,52;647,49
17;18/01/2024 00:00;172;23;10;Centro-Oeste;MT;Hospitalar;8;67,43;0,06;539,44;507,07
18;29/11/2024 00:00;89;15;19;Nordeste;PB;Hospitalar;18;30,85;0,04;555,3;533,09
19;26/10/2024 00:00;160;41;7;Sudeste;RJ;Varejo;20;116,54;0,05;2330,8;2214,26
20;27/01/2024 00:00;73;20;2;Nordeste;RN;Varejo;2;54,08;0;108,16;108,16
21;28/05/2024 00:00;145;22;11;Centro-Oeste;MT;Varejo;7;146,7;0,16;1026,9;862,6
22;02/09/2024 00:00;63;4;25;Centro-Oeste;MS;Varejo;15;106,82;0,04;1602,3;1538,21
23;14/11/2024 00:00;119;13;14;Norte;AP;Varejo;5;191,4;0,08;957;880,44
24;14/03/2024 00:00;41;13;25;Centro-Oeste;MS;Varejo;9;160,64;0,1;1445,76;1301,18
25;19/06/2024 00:00;195;13;9;Sudeste;MG;Hospitalar;12;170,95;0;2051,4;2051,4
26;05/12/2024 00:00;38;19;1;Norte;RR;Varejo;28;17,88;0;500,64;500,64
27;17/02/2024 00:00;109;36;20;Sudeste;RJ;Varejo;13;27,56;0,03;358,28;347,53
28;29/08/2024 00:00;144;21;8;Norte;AC;Varejo;2;110,43;0,21;220,86;174,48
29;14/08/2024 00:00;70;42;12;Sudeste;RJ;Varejo;6;71,15;0,17;426,9;354,33
30;21/06/2024 00:00;159;15;22;Sul;RS;Hospitalar;12;36,77;0,07;441,24;410,35
31;24/02/2024 00:00;131;50;19;Norte;AC;Varejo;22;122,36;0,04;2691,92;2584,24
32;08/01/2024 00:00;165;53;4;Norte;PA;Varejo;9;116,89;0,1;1052,01;946,81
33;04/08/2024 00:00;72;41;8;Norte;PA;Varejo;6;113,15;0,03;678,9;658,53
34;05/01/2024 00:00;96;60;6;Sudeste;SP;Varejo;15;118,95;0,13;1784,25;1552,3
35;04/07/2024 00:00;178;42;1;Norte;AP;Varejo;30;71,15;0,09;2134,5;1942,4
36;28/11/2024 00:00;102;41;10;Nordeste;AL;Varejo;12;116,61;0,09;1399,32;1273,38
37;30/08/2024 00:00;163;53;3;Nordeste;CE;Varejo;31;133,24;0,02;4130,44;4047,83
38;09/03/2024 00:00;105;49;10;Nordeste;MA;Hospitalar;9;123,43;0,03;1110,87;1077,54
39;05/03/2024 00:00;186;46;3;Nordeste;PE;Varejo;13;166,79;0,03;2168,27;2103,22
40;14/01/2024 00:00;162;36;6;Sudeste;SP;Varejo;14;25,86;0,02;362,04;354,8
41;14/10/2024 00:00;136;10;24;Sudeste;MG;Varejo;13;147,49;0,09;1917,37;1744,81
42;04/09/2024 00:00;130;45;2;Nordeste;MA;Varejo;4;127,6;0,07;510,4;474,67
43;02/06/2024 00:00;84;26;1;Sudeste;SP;Varejo;14;48,58;0,06;680,12;639,31
44;28/11/2024 00:00;80;47;23;Sudeste;SP;Varejo;5;96,13;0,03;480,65;466,23
45;21/07/2024 00:00;65;18;14;Nordeste;PI;Varejo;4;119,83;0,04;479,32;460,15
46;23/08/2024 00:00;175;9;8;Centro-Oeste;MT;Varejo;6;145,99;0,1;875,94;788,35
47;12/02/2024 00:00;133;33;21;Nordeste;RN;Varejo;20;134,75;0,05;2695;2560,25
48;25/11/2024 00:00;104;29;20;Nordeste;SE;Varejo;8;172,17;0,04;1377,36;1322,27
49;16/12/2024 00:00;12;29;13;Nordeste;PE;Varejo;12;185,6;0,12;2227,2;1959,94
50;04/05/2024 00:00;134;21;23;Nordeste;CE;Hospitalar;7;136,31;0,11;954,17;849,21
51;06/12/2024 00:00;34;54;1;Sudeste;MG;Varejo;7;111,48;0,01;780,36;772,56
52;07/07/2024 00:00;96;32;22;Sudeste;SP;Varejo;8;98,85;0,06;790,8;743,35
53;28/11/2024 00:00;148;38;12;Sudeste;RJ;Varejo;14;175,32;0,09;2454,48;2233,58
54;15/08/2024 00:00;13;32;7;Norte;AM;Varejo;13;118,81;0,05;1544,53;1467,3
55;28/10/2024 00:00;159;58;16;Sul;RS;Hospitalar;18;93,5;0,17;1683;1396,89
56;31/05/2024 00:00;94;52;14;Sul;PR;Hospitalar;21;129,65;0,12;2722,65;2395,93
57;16/10/2024 00:00;90;36;17;Centro-Oeste;DF;Varejo;5;28;0,04;140;134,4
58;11/04/2024 00:00;94;19;1;Sul;PR;Hospitalar;3;17,52;0,15;52,56;44,68
59;05/07/2024 00:00;115;49;4;Sul;PR;Varejo;4;146,22;0,02;584,88;573,18
60;12/05/2024 00:00;195;52;17;Sudeste;MG;Hospitalar;8;129,4;0,09;1035,2;942,03
61;17/03/2024 00:00;28;58;22;Sudeste;RJ;Varejo;16;80,91;0,1;1294,56;1165,1
62;27/08/2024 00:00;53;21;11;Nordeste;BA;Varejo;14;113,34;0,13;1586,76;1380,48
63;20/07/2024 00:00;144;32;19;Norte;AC;Varejo;34;100,43;0,13;3414,62;2970,72
64;02/09/2024 00:00;14;38;20;Centro-Oeste;GO;Distribuidor;20;170,65;0,14;3413;2935,18
65;20/04/2024 00:00;49;6;11;Sudeste;RJ;Hospitalar;4;89,18;0,05;356,72;338,88
66;21/05/2024 00:00;22;13;3;Centro-Oeste;MT;Varejo;11;167,79;0,02;1845,69;1808,78
67;13/07/2024 00:00;29;5;17;Norte;AC;Hospitalar;5;72,09;0,14;360,45;309,99
68;01/12/2024 00:00;117;50;23;Sul;PR;Varejo;9;125,61;0,05;1130,49;1073,97
69;15/11/2024 00:00;73;24;3;Nordeste;RN;Varejo;11;105,7;0,01;1162,7;1151,07
70;26/02/2024 00:00;141;16;10;Nordeste;CE;Hospitalar;4;63,91;0,18;255,64;209,62
71;09/01/2024 00:00;155;50;22;Sul;SC;Distribuidor;11;127,29;0,05;1400,19;1330,18
72;05/11/2024 00:00;124;5;19;Nordeste;PE;Varejo;16;74,15;0,04;1186,4;1138,94
73;12/04/2024 00:00;90;42;22;Centro-Oeste;DF;Varejo;7;78,01;0;546,07;546,07
74;19/10/2024 00:00;165;48;13;Norte;PA;Varejo;2;69,87;0,07;139,74;129,96
75;09/10/2024 00:00;31;25;18;Centro-Oeste;GO;Hospitalar;20;164,59;0;3291,8;3291,8
76;09/02/2024 00:00;69;37;5;Sudeste;SP;Hospitalar;12;130,58;0,08;1566,96;1441,6
77;05/09/2024 00:00;184;58;9;Sudeste;MG;Varejo;4;78,99;0,11;315,96;281,2
78;19/02/2024 00:00;34;10;11;Sudeste;MG;Varejo;16;129,66;0,13;2074,56;1804,87
79;09/03/2024 00:00;62;55;4;Norte;AP;Varejo;8;77,44;0,05;619,52;588,54
80;08/10/2024 00:00;69;6;19;Sudeste;SP;Hospitalar;25;84,39;0,07;2109,75;1962,07
81;30/10/2024 00:00;57;57;15;Nordeste;PI;Varejo;14;80,31;0,1;1124,34;1011,91
82;16/02/2024 00:00;52;50;15;Norte;TO;Hospitalar;10;120,14;0,13;1201,4;1045,22
83;23/01/2024 00:00;175;60;1;Centro-Oeste;MT;Varejo;10;117,71;0,16;1177,1;988,76
84;25/02/2024 00:00;69;6;7;Sudeste;SP;Hospitalar;5;97,21;0;486,05;486,05
85;17/10/2024 00:00;160;45;17;Sudeste;RJ;Varejo;11;185,57;0,06;2041,27;1918,79
86;18/03/2024 00:00;162;34;8;Sudeste;SP;Varejo;5;137,43;0,05;687,15;652,79
87;05/01/2024 00:00;30;42;7;Centro-Oeste;DF;Varejo;8;78,5;0,09;628;571,48
88;11/12/2024 00:00;9;52;9;Sudeste;SP;Distribuidor;6;120,9;0,03;725,4;703,64
89;04/03/2024 00:00;158;33;15;Nordeste;AL;Varejo;12;107,47;0,04;1289,64;1238,05
90;20/03/2024 00:00;211;51;16;Sul;SC;Varejo;10;24,45;0,1;244,5;220,05
91;20/09/2024 00:00;161;20;24;Sul;SC;Varejo;19;52,67;0,03;1000,73;970,71
92;28/04/2024 00:00;163;13;16;Nordeste;CE;Varejo;4;184,86;0,07;739,44;687,68
93;26/10/2024 00:00;165;44;11;Norte;PA;Varejo;4;50,21;0,08;200,84;184,77
